ID,URL,TITLE,PAGE TYPE,CATEGORY,PRIMARY INTENT,TARGET AUDIENCE,PRIMARY KEYWORD,CONTENT ANGLE,STATUS,WORD COUNT,INTERNAL LINKS
"home","/","Digital Growth, AI &amp; Automation","index","Other","","","","Get found. Build well. Automate the rest.","published","1957","61"
"case-studies","/case-studies/","Case studies | BizzFly","index","Case Studies","","","","Client work, published honestly","published","403","37"
"company","/company/","Company | BizzFly","index","Company","","","","A small team in Pune, working across two disciplines that are usually kept apart","published","264","30"
"company--about","/company/about/","About BizzFly | BizzFly","company","Company","navigational","A2 A9 A8","about BizzFly","About BizzFly","published","339","13"
"company--accessibility-commitment","/company/accessibility-commitment/","Accessibility commitment | BizzFly","company","Company","informational","A7 A3","accessibility commitment","Accessibility commitment","published","280","13"
"company--ai-search-methodology","/company/ai-search-methodology/","AI search methodology | BizzFly","company","Company","commercial","A3 A4 A2","AI search methodology","AI search methodology","published","307","13"
"company--approach","/company/approach/","Our approach | BizzFly","company","Company","commercial","A2 A7 A8","how BizzFly approaches projects","Our approach","published","533","17"
"company--automation-approach","/company/automation-approach/","Automation approach | BizzFly","company","Company","commercial","A6 A2","automation approach","Automation approach","published","314","13"
"company--careers","/company/careers/","Careers | BizzFly","company","Company","navigational","A9","careers at BizzFly","Careers","published","228","13"
"company--content-standards","/company/content-standards/","Content standards | BizzFly","company","Company","informational","A3 A2","content standards","Content standards","published","297","12"
"company--data-and-privacy-approach","/company/data-and-privacy-approach/","Data and privacy approach | BizzFly","company","Company","informational","A8 A7 A2","data privacy approach","Data and privacy approach","published","305","12"
"company--digital-growth-methodology","/company/digital-growth-methodology/","Digital growth methodology | BizzFly","company","Company","commercial","A2 A3","digital growth methodology","Digital growth methodology","published","305","13"
"company--discovery-process","/company/discovery-process/","Discovery process | BizzFly","company","Company","commercial","A2 A8","discovery process","Discovery process","published","309","13"
"company--engagement-models","/company/engagement-models/","Engagement models | BizzFly","company","Company","commercial","A2 A8 A1","engagement models","Engagement models","published","311","13"
"company--faq","/company/faq/","Frequently asked questions | BizzFly","company","Company","informational","A1 A2 A8","bizzfly faq","Frequently asked questions","published","563","13"
"company--how-we-price","/company/how-we-price/","How we price | BizzFly","company","Company","commercial","A8 A2 A1","agency pricing model","How we price","published","330","13"
"company--how-we-report","/company/how-we-report/","How we report | BizzFly","company","Company","commercial","A3 A8 A2","agency reporting","How we report","published","297","13"
"company--how-we-work","/company/how-we-work/","How we work | BizzFly","company","Company","commercial","A2 A7 A8","how BizzFly works","How we work","published","275","13"
"company--privacy-policy","/company/privacy-policy/","Privacy Policy | BizzFly","company","Company","navigational","A8","privacy policy","Privacy Policy","published","143","10"
"company--seo-methodology","/company/seo-methodology/","SEO methodology | BizzFly","company","Company","commercial","A3 A4","SEO methodology","SEO methodology","published","294","13"
"company--software-development-process","/company/software-development-process/","Software development process | BizzFly","company","Company","commercial","A7 A2 A8","software development process","Software development process","published","288","13"
"company--terms","/company/terms/","Terms &amp; Conditions | BizzFly","company","Company","navigational","A8","terms and conditions","Terms Conditions","published","91","10"
"company--website-development-process","/company/website-development-process/","Website development process | BizzFly","company","Company","commercial","A3 A7","website development process","Website development process","published","282","13"
"company--what-we-do-not-do","/company/what-we-do-not-do/","What we do not do | BizzFly","company","Company","commercial","A2 A1 A8","agency scope boundaries","What we do not do","published","325","13"
"company--working-with-us","/company/working-with-us/","Working with us | BizzFly","company","Company","commercial","A2 A1 A3","working with an agency","Working with us","published","303","13"
"contact","/contact/","Contact | BizzFly","index","Company","","","","Tell us what you are trying to build, improve or grow","published","255","15"
"industries","/industries/","Industries | BizzFly","index","Industries","","","","The work looks different in every sector","published","748","50"
"industries--accounting","/industries/accounting/","Digital Growth &amp; Technology for Digital Services for Accounting Practices | BizzFly","industry","Industries","commercial","A1 A6","accounting firm marketing","Accounting Advisory","published","851","27"
"industries--agriculture","/industries/agriculture/","Digital Growth &amp; Technology for Digital Services for Agriculture &amp; Agritech | BizzFly","industry","Industries","commercial","A1 A6","agritech digital transformation","Agriculture Agritech","published","849","26"
"industries--automotive","/industries/automotive/","Digital Growth &amp; Technology for Digital Services for Automotive Businesses | BizzFly","industry","Industries","commercial","A1 A3","automotive digital marketing","Automotive","published","927","28"
"industries--b2b-services","/industries/b2b-services/","Digital Growth &amp; Technology for Digital Services for B2B Services Firms | BizzFly","industry","Industries","commercial","A1 A2 A3","b2b services marketing","B2B Services","published","873","24"
"industries--construction","/industries/construction/","Digital Growth &amp; Technology for Digital Services for Construction Businesses | BizzFly","industry","Industries","commercial","A1 A2","construction digital marketing","Construction","published","900","27"
