url,page_name,page_type,parent_section,target_audience,user_intent,primary_topic,primary_cta,related_pages,phase,source_status
/,Home,Landing,Root,All,Understand what BizzFly does and self-select a path,Digital growth and technology partner,Talk to a strategist,/services/ | /industries/ | /work/,P1,REWRITE
/services/,Services,Hub,Services,A1 A2 A3 A7,See the full capability set and pick a practice,BizzFly service portfolio,Explore a practice,/use-cases/ | /industries/ | /process/,P1,REWRITE
/services/search-ai-visibility/,Search & AI Visibility,Practice Hub,Services,A3 A4,Understand search and AI visibility as one discipline,Search and AI visibility,Request an AI visibility assessment,/services/search-ai-visibility/seo/ | /services/search-ai-visibility/ai-search/ | /work/by-service/,P1,REWRITE
/services/search-ai-visibility/seo/,SEO Services,Service,Search & AI Visibility,A1 A3,Find an SEO partner,Search engine optimisation,Get a free SEO audit,/services/search-ai-visibility/seo/technical-seo/ | /services/search-ai-visibility/ai-search/ | /free-seo-audit/,P1,REWRITE
/services/search-ai-visibility/seo/technical-seo/,Technical SEO,Service,SEO,A3 A7,Fix crawl indexation and site health problems,Technical SEO,Get a technical SEO audit,/services/search-ai-visibility/seo/site-architecture/ | /services/web-development/website-performance/ | /use-cases/recover-from-traffic-drop/,P1,NEW
/services/search-ai-visibility/seo/on-page-seo/,On-Page SEO,Service,SEO,A3 A4,Improve page-level relevance and structure,On-page optimisation,Get a free SEO audit,/services/search-ai-visibility/seo/seo-content-strategy/ | /services/search-ai-visibility/seo/keyword-strategy/ | /services/search-ai-visibility/ai-search/aeo/,P1,NEW
/services/search-ai-visibility/seo/off-page-seo/,Off-Page SEO & Digital PR,Service,SEO,A3,Build authority and earn links,Off-page SEO and link earning,Talk to a strategist,/services/digital-marketing/digital-pr/ | /services/search-ai-visibility/seo/enterprise-seo/ | /insights/guides/seo-guide/,P2,NEW
/services/search-ai-visibility/seo/local-seo/,Local SEO,Service,SEO,A1 A2,Get found by nearby customers,Local search visibility,Get a local visibility audit,/services/search-ai-visibility/google-business-profile/ | /locations/pune/ | /use-cases/rank-in-local-search/,P1,NEW
/services/search-ai-visibility/seo/enterprise-seo/,Enterprise SEO,Service,SEO,A2 A3,Manage SEO across large complex sites,Enterprise-scale SEO,Talk to a strategist,/services/search-ai-visibility/seo/site-architecture/ | /services/search-ai-visibility/seo/seo-migration/ | /services/data-analytics/analytics-implementation/,P2,NEW
/services/search-ai-visibility/seo/ecommerce-seo/,E-commerce SEO,Service,SEO,A3,Grow organic revenue for an online store,E-commerce search visibility,Get an e-commerce SEO audit,/industries/ecommerce-retail/ | /services/web-development/ecommerce-websites/ | /technology/ecommerce-platforms/,P2,NEW
/services/search-ai-visibility/seo/international-seo/,International SEO,Service,SEO,A2 A3,Expand search visibility to new countries,Multi-market and multilingual SEO,Talk to a strategist,/use-cases/expand-into-new-markets/ | /services/search-ai-visibility/seo/site-architecture/ | /services/search-ai-visibility/seo/seo-migration/,P3,NEW
